loan_term_months,base_default_prob,n_borrowers,principal,replication,steps_run,defaulted_share,roi,default_rate
12,0.01,60,10000.0,0,14,0.0,0.09749147995666484,0.0
12,0.01,60,10000.0,2,14,0.0,0.0896116135583102,0.0
12,0.01,60,10000.0,1,15,0.0,0.09487874405123875,0.0
12,0.01,60,10000.0,4,14,0.0,0.092337740168957,0.0
12,0.01,60,10000.0,3,14,0.0,0.10412085250063954,0.0
12,0.03,60,10000.0,1,15,0.0,0.09487874405123875,0.0
12,0.03,60,10000.0,0,16,0.0,0.09749147995666484,0.0
12,0.03,60,10000.0,3,17,0.005524826641236933,0.09802077619959872,0.016666666666666666
12,0.03,60,10000.0,2,15,0.0,0.0896116135583102,0.0
12,0.03,60,10000.0,4,15,0.0,0.092337740168957,0.0
12,0.05,60,10000.0,0,18,0.02026055946352573,0.07525568856629,0.06666666666666667
12,0.05,60,10000.0,1,20,0.005446639049371136,0.08891533472956313,0.03333333333333333
12,0.05,60,10000.0,2,16,0.007150911874560339,0.0818198969322575,0.03333333333333333
12,0.05,60,10000.0,3,18,0.005524826641236933,0.09802077619959872,0.016666666666666666
12,0.05,60,10000.0,4,19,0.0,0.092337740168957,0.0
12,0.08,60,10000.0,0,18,0.054769692775973336,0.03738220877518994,0.1
12,0.08,60,10000.0,1,21,0.04705825477840952,0.043355661162210554,0.08333333333333333
12,0.08,60,10000.0,2,18,0.05009239967357588,0.035030353122977344,0.06666666666666667
12,0.08,60,10000.0,3,22,0.04045155266635293,0.05945744968569139,0.08333333333333333
12,0.08,60,10000.0,4,19,0.062240395755837855,0.02435020692180357,0.1
12,0.12,60,10000.0,0,22,0.12276747213290434,-0.03724477472501516,0.23333333333333334
12,0.12,60,10000.0,1,21,0.17213922837143752,-0.09359283811002969,0.35
12,0.12,60,10000.0,2,21,0.2108360478552961,-0.1401177927415562,0.3333333333333333
12,0.12,60,10000.0,3,22,0.22897676980661566,-0.14869717378108355,0.35
12,0.12,60,10000.0,4,21,0.23039446129438734,-0.15933082502879833,0.38333333333333336
